Episode No.,Run0steps,Run1steps,Run2steps,Run3steps,
1140,200,200,200,190,
1141,98,200,200,178,
1142,39,200,200,44,
1143,200,200,200,48,
1144,200,200,200,200,
1145,190,200,200,20,
1146,84,200,200,37,
1147,200,200,200,26,
1148,200,200,200,34,
1149,200,200,200,12,
1150,200,200,200,24,
1151,200,200,200,38,
1152,200,200,200,10,
1153,200,200,200,14,
1154,200,200,200,12,
1155,200,200,200,40,
1156,200,200,200,41,
1157,200,200,200,13,
1158,200,200,200,33,
1159,169,200,200,91,
1160,21,200,200,25,
1161,200,200,200,46,
1162,35,200,200,148,
1163,200,200,200,200,
1164,58,200,200,200,
1165,37,200,200,200,
1166,21,200,200,200,
1167,25,200,200,200,
1168,67,200,200,200,
1169,38,200,200,200,
1170,181,200,200,200,
1171,63,200,200,200,
1172,88,200,200,200,
1173,200,200,200,200,
1174,58,200,200,200,
1175,44,200,200,200,
1176,42,200,200,200,
1177,200,200,200,200,
1178,200,200,200,200,
1179,200,200,176,200,
1180,200,32,43,200,
1181,200,200,15,200,
1182,200,200,31,200,
1183,200,109,73,200,
1184,200,113,28,200,
1185,200,95,19,167,
1186,200,33,28,166,
1187,26,104,43,142,
1188,200,14,28,101,
1189,79,136,91,61,
1190,200,36,129,34,
1191,90,89,190,136,
1192,25,200,12,84,
1193,200,63,17,20,
1194,75,63,108,200,
1195,200,108,57,50,
1196,30,126,32,75,
1197,200,200,23,130,
1198,133,200,26,12,
1199,200,200,40,29,
1200,200,200,50,158,
1201,200,200,42,42,
1202,200,200,114,200,
1203,200,200,42,200,
1204,200,200,10,200,
1205,29,200,200,200,
1206,200,200,58,200,
1207,40,200,106,19,
1208,200,200,161,200,
1209,200,200,98,200,
1210,200,200,45,200,
1211,200,200,117,200,
1212,200,200,67,200,
1213,200,200,33,200,
1214,200,200,200,200,
1215,200,97,200,200,
1216,200,96,200,200,
1217,200,34,107,200,
1218,200,44,84,200,
1219,200,39,29,200,
1220,200,135,200,65,
1221,200,62,200,18,
1222,200,97,200,58,
1223,200,79,33,153,
1224,200,21,200,200,
1225,200,200,200,124,
1226,200,200,200,200,
1227,200,107,200,200,
1228,200,118,200,200,
1229,200,28,200,200,
1230,200,46,200,200,
1231,200,162,200,200,
1232,200,200,200,200,
1233,200,200,200,200,
